lat,lon
-12.1035098,-77.0315099
-12.1029464,-77.0279749
-12.1028597,-77.0273751
-12.1028466,-77.0272786
-12.1035957,-77.0274667
-12.1053024,-77.0274649
-12.1059669,-77.0274199
-12.1063204,-77.0273125
-12.1065162,-77.0272291
-12.1081992,-77.0265586
-12.110457,-77.0262662
-12.1119759,-77.0261419
-12.1134825,-77.0260039
-12.1141055,-77.0259635
-12.1143262,-77.0259492
